Modality,Source,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,../../results/USPTO-NMR/transformer/C&H,0.7056,0.815,0.8396,0.859,0.8905,0.9332,0.9446,0.9538
C,../../results/USPTO-NMR/transformer/C,0.4803,0.6121,0.6538,0.6886,0.7386,0.8102,0.8341,0.8553
H,../../results/USPTO-NMR/transformer/H,0.6336,0.7513,0.782,0.8062,0.8438,0.8978,0.9136,0.9266
C&H_10000,../../results/USPTO-NMR/transformer/C&H_10000,0.7051,0.8147,0.8408,0.8606,0.8901,0.9319,0.9439,0.9537
C_10000,../../results/USPTO-NMR/transformer/C_10000,0.4776,0.6107,0.6523,0.6878,0.7365,0.809,0.8321,0.8532
H_10000,../../results/USPTO-NMR/transformer/H_10000,0.6318,0.7473,0.7779,0.8022,0.842,0.8955,0.9119,0.9251
