iteration,cnmr_rmse,hnmr_rmse,cnmr_rmse_normalized,hnmr_rmse_normalized,cnmr_vec_sim,hnmr_vec_sim,cnmr_set_match_score,hnmr_set_match_score
0,3.012,0.3514,0.6533,0.5613,0.4154,0.3289,0.8811,0.9316
1,2.3737,0.2366,0.7276,0.6825,0.3483,0.2327,0.8897,0.9511
2,2.3153,0.2268,0.7342,0.6946,0.3429,0.2277,0.8902,0.9527
3,2.2876,0.2241,0.7366,0.6974,0.3405,0.2295,0.8905,0.9532
4,2.2872,0.2271,0.7364,0.6931,0.3412,0.2387,0.8905,0.9529
5,2.2685,0.2154,0.7383,0.709,0.3395,0.2184,0.8906,0.9542
