Modality,Source,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_10000_10_5_rmse_631,0.6032,0.6822,0.6982,0.7102,0.7655,0.7908,0.7981,0.8051
C&H,nmr2mol,0.4388,0.561,0.5946,0.6324,0.6725,0.7346,0.7539,0.7755
C,evaluation_NMRBank_10000_10_5_rmse_82,0.4964,0.568,0.5854,0.6008,0.6722,0.7039,0.7151,0.7283
C,nmr2mol,0.3104,0.4255,0.4613,0.5015,0.5668,0.6398,0.6636,0.6913
H,evaluation_NMRBank_10000_10_5_rmse_64,0.4443,0.5479,0.5769,0.6021,0.6512,0.7049,0.721,0.7365
H,nmr2mol,0.3209,0.4286,0.4653,0.5066,0.5724,0.6433,0.6676,0.6952
