iteration,cnmr_rmse,hnmr_rmse,cnmr_rmse_normalized,hnmr_rmse_normalized,cnmr_vec_sim,hnmr_vec_sim,cnmr_set_match_score,hnmr_set_match_score
0,3.0952,0.3349,0.6564,0.5849,0.4564,0.2816,0.8799,0.9496
1,1.6613,0.2052,0.7712,0.7167,0.3474,0.1812,0.8916,0.969
2,0.9685,0.1611,0.8448,0.7714,0.293,0.1414,0.8976,0.9741
3,0.8633,0.149,0.859,0.7866,0.2835,0.1343,0.8984,0.9752
4,0.8454,0.1453,0.8612,0.7914,0.2828,0.1337,0.8985,0.9756
5,0.8241,0.144,0.8644,0.7919,0.2804,0.1371,0.8986,0.9758
