Modality,Source,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,../../results/NMRBank/transformer/C&H,0.2877,0.3973,0.4269,0.4557,0.6024,0.6893,0.7163,0.7408
C,../../results/NMRBank/transformer/C,0.2518,0.3616,0.3917,0.4183,0.5764,0.6585,0.6833,0.7072
H,../../results/NMRBank/transformer/H,0.2499,0.3496,0.3804,0.4042,0.5657,0.6481,0.6758,0.7006
C&H_10000,../../results/NMRBank/transformer/C&H_10000,0.2861,0.3954,0.4246,0.454,0.6032,0.6893,0.7164,0.7411
C_10000,../../results/NMRBank/transformer/C_10000,0.25,0.3583,0.3893,0.4151,0.5744,0.6561,0.6812,0.7055
H_10000,../../results/NMRBank/transformer/H_10000,0.2494,0.3486,0.3789,0.403,0.5657,0.6486,0.6762,0.7011
