Modality,Source,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRExp_10000_10_5_rmse_631,0.6552,0.7919,0.8178,0.8352,0.8979,0.9177,0.9242,0.9297
C&H,nmr2mol,0.5434,0.6959,0.7339,0.7718,0.8152,0.8711,0.887,0.9049
C,evaluation_NMRExp_10000_10_5_rmse_82,0.5814,0.6924,0.7163,0.7358,0.8232,0.8455,0.8549,0.8663
C,nmr2mol,0.39,0.5369,0.5786,0.6292,0.6852,0.7643,0.7912,0.8211
H,evaluation_NMRExp_10000_10_5_rmse_64,0.4909,0.6323,0.6753,0.7186,0.7705,0.8277,0.8458,0.8628
H,nmr2mol,0.36,0.505,0.5538,0.6088,0.6675,0.7506,0.7788,0.8093
