Modality,Source,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,../../results/NMRExp/transformer/C&H,0.4683,0.5995,0.6348,0.6638,0.7753,0.8403,0.8603,0.8769
C,../../results/NMRExp/transformer/C,0.3245,0.444,0.4868,0.5257,0.6446,0.7228,0.751,0.7774
H,../../results/NMRExp/transformer/H,0.3701,0.4901,0.5282,0.5622,0.6821,0.7583,0.7834,0.8063
C&H_10000,../../results/NMRExp/transformer/C&H_10000,0.4572,0.5868,0.6212,0.6533,0.7655,0.8327,0.8531,0.8717
C_10000,../../results/NMRExp/transformer/C_10000,0.3149,0.4374,0.4817,0.5213,0.6411,0.7193,0.7482,0.775
H_10000,../../results/NMRExp/transformer/H_10000,0.3627,0.4829,0.5218,0.5568,0.6773,0.7514,0.7772,0.8003
